Id_oferty	Woj 	Status	Pow	L_pokoi	L_laz	Cena	Data_zglosz	Id_agenta
AB536MN	lodzkie	S	120	3	1	350000	2016-01-15	8
AB537DT	dolnoslaskie	A	100	3	2	215000	2016-01-25	6
AB538MN	kujawsko-pomorskie	S	59	2	2	315000	2016-01-25	3
AB539DN	mazowieckie	S	112	4	1	379000	2016-01-25	4
AB540DT	lubelskie	S	89	4	2	248500	2016-01-30	1
AB541DN	podlaskie	S	126	4	2	297500	2016-02-01	4
AB542MN	mazowieckie	A	99	4	1	259900	2016-02-04	4
AB543MT	podlaskie	A	85	4	2	325000	2015-02-10	5
AB544DT	mazowieckie	A	150	4	1	208750	2016-02-21	1
AB545MN	lubelskie	A	80	4	1	227500	2016-02-22	3
AB546MN	lubelskie	A	160	3	2	259900	2016-03-04	2
AB547DT	podlaskie	S	124	2	2	405000	2016-03-05	9
AB548MN	mazowieckie	A	89	2	2	236900	2016-03-07	4
AB549MN	podlaskie	A	112	3	1	240000	2016-03-11	5
AB550DN	mazowieckie	A	58	4	1	120000	2016-03-13	2
AB551DT	podlaskie	A	157	4	2	349900	2016-03-19	1
AB552DT	lubelskie	A	133	4	2	249000	2016-03-19	2
AB553DN	lubelskie	A	96	4	1	229500	2016-03-22	8
AB554MN	pomorskie	A	113	3	2	359900	2016-03-29	6
AB555DT	mazowieckie	S	112	3	1	335000	2016-04-01	3
AB556DT	lodzkie	A	135	5	1	360000	2016-04-02	4
AB557MT	lubelskie	A	83	4	1	349000	2016-04-03	1
AB558MN	mazowieckie	S	102	3	2	249000	2016-04-09	4
AB559DN	podlaskie	A	72	4	1	309950	2016-04-12	4
AB560DN	lubelskie	S	98	3	2	325000	2016-04-12	5
AB561DN	podlaskie	A	101	2	1	285000	2016-04-16	1
AB562DT	mazowieckie	A	90	4	1	375000	2016-04-17	3
AB563MN	mazowieckie	S	70	4	1	369900	2016-04-20	2
AB564MN	mazowieckie	S	104	3	1	214500	2016-04-20	9
AB565DN	mazowieckie	S	110	3	1	289000	2016-04-20	4
AB566DN	lubelskie	A	89	3	2	273500	2016-04-21	5
AB567DN	lubelskie	S	82	3	1	242500	2016-04-26	2
AB568MN	podlaskie	S	129	3	1	379000	2016-04-26	1
AB569DT	lubuskie	S	93	3	1	350000	2016-04-27	2
AB570DN	mazowieckie	A	75	4	1	354000	2016-04-28	4
AB571DT	lubelskie	A	109	5	1	425900	2016-04-30	5
AB572DN	mazowieckie	S	106	3	1	204900	2016-05-02	9
AB573MN	mazowieckie	A	117	2	1	239900	2016-05-06	4
AB574DN	lubelskie	S	107	4	1	269900	2016-05-07	5
AB575DN	podlaskie	S	104	4	2	338876	2016-05-08	2
AB576MN	mazowieckie	S	80	3	1	299000	2016-05-09	1
AB577DN	podlaskie	S	105	4	2	229900	2016-05-13	2
AB578DN	podlaskie	A	113	3	1	264900	2016-05-17	9
AB579DN	lubelskie	A	128	4	2	364900	2016-05-18	6
AB580DN	mazowieckie	A	111	4	1	235910	2016-05-24	4
AB581DT	lubelskie	A	62	3	1	205000	2016-05-24	2
AB582DN	mazowieckie	A	67	4	1	325000	2016-05-26	5
AB583DN	mazowieckie	S	75	4	1	398000	2016-06-01	8
AB584DN	podlaskie	A	77	4	1	247500	2016-06-02	4
AB585DN	podlaskie	A	73	8	1	545000	2016-06-03	1
AB586DT	lubelskie	A	90	5	1	309900	2016-06-05	8
AB587DN	podlaskie	A	99	3	2	365000	2016-06-14	6
AB588DT	lubelskie	A	102	4	1	319000	2016-06-17	4
AB589DT	lubelskie	A	89	3	1	339900	2016-06-17	3
AB590DT	mazowieckie	A	109	4	2	375000	2016-06-21	8
AB591MN	mazowieckie	S	132	3	2	229900	2016-06-25	6
AB592MN	lubelskie	A	132	4	2	238000	2016-07-01	3
AB593DN	mazowieckie	A	75	4	1	265000	2016-07-01	4
AB594DN	lubelskie	S	74	3	1	250000	2016-07-02	1
AB595DT	lubelskie	A	76	4	1	225911	2016-07-08	4
AB596MT	mazowieckie	S	65	3	1	369900	2016-07-11	4
AB597DT	mazowieckie	A	68	4	1	225000	2016-07-13	5
AB598MN	podlaskie	A	114	3	1	319000	2016-07-13	1
AB599MN	lubelskie	S	162	4	2	229900	2016-07-17	3
AB600MN	kujawsko-pomorskie	S	106	2	2	189000	2016-07-27	2
AB601DN	mazowieckie	S	125	5	2	574900	2016-08-06	7
AB602MN	lubelskie	A	77	3	1	379900	2016-08-12	6
AB603DN	mazowieckie	A	102	4	1	389500	2016-08-14	10
AB604MT	podlaskie	S	101	4	2	235990	2016-08-16	2
AB605DN	lubelskie	A	104	4	1	245000	2016-08-19	9
AB606DN	lubelskie	A	144	3	2	359000	2016-08-28	9
AB607MT	swietokrzyskie	S	94	4	1	355000	2016-08-30	10
AB608DT	podlaskie	A	86	4	1	225000	2016-09-02	2
AB609DT	lubelskie	A	83	3	1	229900	2016-09-05	1
AB610DN	lubelskie	S	138	4	2	208750	2016-09-05	2
AB611DT	podlaskie	A	75	6	1	229500	2016-09-05	8
AB612DN	podlaskie	A	70	4	1	239900	2016-09-05	5
AB613DN	podlaskie	S	111	3	1	236900	2016-09-10	5
AB614DN	lubelskie	A	104	4	2	205500	2016-09-14	9
AB615DN	podlaskie	A	146	4	2	374900	2016-09-17	1
AB616DN	mazowieckie	S	88	4	1	268500	2016-09-21	8
AB617DN	podlaskie	A	103	4	1	349000	2016-09-24	3
AB618DT	lubelskie	A	117	3	2	238000	2016-09-28	7
AB619DT	mazowieckie	A	66	4	1	349000	2016-09-29	9
AB620DN	podlaskie	S	86	3	2	369900	2016-10-01	1
AB621MT	podlaskie	S	86	4	1	215000	2016-10-01	9
AB622DT	lubelskie	A	123	4	2	309950	2016-10-02	3
