Częstotliwość (Hz)	Poziom (dB)
2.691650	-63.105415
5.383301	-52.444962
8.074951	-49.043671
10.766602	-50.536415
13.458252	-49.741573
16.149902	-43.040344
18.841553	-43.121452
21.533203	-47.376530
24.224854	-54.747150
26.916504	-58.088772
29.608154	-58.869301
32.299805	-58.894878
34.991455	-50.730854
37.683105	-47.927013
40.374756	-45.780148
43.066406	-48.004543
45.758057	-57.586025
48.449707	-55.867695
51.141357	-54.748772
53.833008	-58.834557
56.524658	-62.020222
59.216309	-62.353222
61.907959	-52.865303
64.599609	-49.927895
67.291260	-54.439434
69.982910	-58.886555
72.674561	-50.618256
75.366211	-43.792336
78.057861	-38.712257
80.749512	-28.062193
83.441162	-25.208508
86.132813	-35.107609
88.824463	-47.208290
91.516113	-49.569263
94.207764	-48.187031
96.899414	-50.067318
99.591064	-54.085110
102.282715	-56.000416
104.974365	-63.304783
107.666016	-59.314980
110.357666	-53.233009
113.049316	-51.635460
115.740967	-52.147320
118.432617	-54.978203
121.124268	-57.226124
123.815918	-55.863590
126.507568	-63.055576
129.199219	-59.300030
131.890869	-57.985958
134.582520	-60.968830
137.274170	-59.747494
139.965820	-54.576683
142.657471	-54.320297
145.349121	-55.488251
148.040771	-52.110878
150.732422	-58.702919
153.424072	-46.727501
156.115723	-44.387230
158.807373	-41.359623
161.499023	-26.339111
164.190674	-14.590611
166.882324	-15.760347
169.573975	-31.298094
172.265625	-46.073708
174.957275	-41.425694
177.648926	-46.588543
180.340576	-52.746338
183.032227	-48.657391
185.723877	-48.234409
188.415527	-53.841393
191.107178	-58.499584
193.798828	-54.359020
196.490479	-51.849533
199.182129	-49.409981
201.873779	-51.150108
204.565430	-55.381432
207.257080	-59.659153
209.948730	-60.327274
212.640381	-61.832588
215.332031	-67.410278
218.023682	-62.833652
220.715332	-61.727898
223.406982	-60.986801
226.098633	-56.638187
228.790283	-55.354759
231.481934	-55.868935
234.173584	-59.029953
236.865234	-58.719975
239.556885	-56.059978
242.248535	-51.729656
244.940186	-34.367931
247.631836	-26.636547
250.323486	-30.833748
253.015137	-49.466824
255.706787	-54.250141
258.398438	-56.314587
261.090088	-60.233124
263.781738	-58.913723
266.473389	-59.095524
269.165039	-56.918468
271.856689	-55.822891
274.548340	-61.079132
277.239990	-60.394417
279.931641	-59.678112
282.623291	-62.353359
285.314941	-57.394806
288.006592	-56.863857
290.698242	-58.736496
293.389893	-54.291656
296.081543	-57.561710
298.773193	-64.327209
