A0	27.5	55	82.5	110
B0	29.14	58.27	87.41	116.54
H0	30.87	61.74	92.6	123.47
C1	32.7	65.41	98.11	130.81
C#1	34.65	69.3	103.94	138.59
D1	36.71	73.42	110.12	146.83
D#1	38.89	77.78	116.67	155.56
E1	41.2	82.41	123.61	164.81
F1	43.65	87.31	130.96	174.61
F#1	46.25	92.5	138.75	185
G1	49	98	147	196
G#1	51.91	103.83	155.74	207.65
A1	55	110	165	220
B1	58.27	116.54	174.81	233.08
H1	61.74	123.47	185.21	246.94
C2	65.41	130.81	196.22	261.63
C#2	69.3	138.59	207.89	277.18
D2	73.42	146.83	220.25	293.66
D#2	77.78	155.56	233.35	311.13
E2	82.41	164.81	247.22	329.63
F2	87.31	174.61	261.92	349.23
F#2	92.5	185	277.5	369.99
G2	98	196	294	392
G#2	103.83	207.65	311.48	415.3
A2	110	220	330	440
B2	116.54	233.08	349.62	466.16
H2	123.47	246.94	370.41	493.88
C3	130.81	261.63	392.44	523.25
C#3	138.59	277.18	415.77	554.37
D3	146.83	293.66	440.5	587.33
D#3	155.56	311.13	466.69	622.25
E3	164.81	329.63	494.44	659.26
F3	174.61	349.23	523.84	698.46
F#3	185	369.99	554.99	739.99
G3	196	392	587.99	783.99
G#3	207.65	415.3	622.96	830.61
A3	220	440	660	880
B3	233.08	466.16	699.25	932.33
H3	246.94	493.88	740.82	987.77
C4	261.63	523.25	784.88	1046.5
C#4	277.18	554.37	831.55	1108.73
D4	293.66	587.33	880.99	1174.66
D#4	311.13	622.25	933.38	1244.51
E4	329.63	659.26	988.88	1318.51
F4	349.23	698.46	1047.68	1396.91
F#4	369.99	739.99	1109.98	1479.98
G4	392	783.99	1175.99	1567.98
G#4	415.3	830.61	1245.91	1661.22
A4	440	880	1320	1760
B4	466.16	932.33	1398.49	1864.66
H4	493.88	987.77	1481.65	1975.53
C5	523.25	1046.5	1569.75	2093
C#5	554.37	1108.73	1663.1	2217.46
D5	587.33	1174.66	1761.99	2349.32
D#5	622.25	1244.51	1866.76	2489.02
E5	659.26	1318.51	1977.77	2637.02
F5	698.46	1396.91	2095.37	2793.83
F#5	739.99	1479.98	2219.97	2959.96
G5	783.99	1567.98	2351.97	3135.96
G#5	830.61	1661.22	2491.83	3322.44
A5	880	1760	2640	3520
B5	932.33	1864.66	2796.98	3729.31
H5	987.77	1975.53	2963.3	3951.07
C6	1046.5	2093	3139.51	4186.01
C#6	1108.73	2217.46	3326.19	4434.92
D6	1174.66	2349.32	3523.98	4698.64
D#6	1244.51	2489.02	3733.52	4978.03
E6	1318.51	2637.02	3955.53	5274.04
F6	1396.91	2793.83	4190.74	5587.65
F#6	1479.98	2959.96	4439.93	5919.91
G6	1567.98	3135.96	4703.95	6271.93
G#6	1661.22	3322.44	4983.66	6644.88
A6	1760	3520	5280	7040
B6	1864.66	3729.31	5593.97	7458.62
H6	1975.53	3951.07	5926.6	7902.13
C7	2093	4186.01	6279.01	8372.02
C#7	2217.46	4434.92	6652.38	8869.84
D7	2349.32	4698.64	7047.95	9397.27
D#7	2489.02	4978.03	7467.05	9956.06
E7	2637.02	5274.04	7911.06	10548.08
F7	2793.83	5587.65	8381.48	11175.3
F#7	2959.96	5919.91	8879.87	11839.82
G7	3135.96	6271.93	9407.89	12543.85
G#7	3322.44	6644.88	9967.31	13289.75
A7	3520	7040	10560	14080
B7	3729.31	7458.62	11187.93	14917.24
H7	3951.07	7902.13	11853.2	15804.27
C8	4186.01	8372.02	12558.03	16744.04
C#8	4434.92	8869.84	13304.77	17739.69
D8	4698.64	9397.27	14095.91	18794.55
D#8	4978.03	9956.06	14934.1	19912.13
E8	5274.04	10548.08	15822.12	21096.16
F8	5587.65	11175.3	16762.96	22350.61
F#8	5919.91	11839.82	17759.73	23679.64
G8	6271.93	12543.85	18815.78	25087.71
G#8	6644.88	13289.75	19934.63	26579.5
